Title,URL,Developer,Category,Description (from repo),Notes
digital-humanities-journalism,https://github.com/livlab/digital-humanities-journalism,Livia Labate,collection; community,,
http://ivanhoe.scholarslab.org,https://github.com/scholarslab/ivanhoe,Scholars' Lab,website,"The Ivanhoe theme for WordPress plugin, by project by the Praxis Program at the Scholars' Lab, enables collaborative criticism through roleplay—for scholars, students, and cultural enthusiasts.",
Digital Pedagogy in the Humanities,https://github.com/curateteaching,,book,,
Course Outline for English 507 at the University of Victoria ,https://github.com/jentery/507,Jentery Sayers,syllabus,,
Waterloo,https://github.com/jentery/waterloo,Jentery Sayers,presentation,"Repository for keynote at XDM, Waterloo (10 April 2015)",
DH-Box/dhbox,https://github.com/DH-Box/dhbox,,software; website," A push-button Digital Humanities laboratory.
http://dhbox.org/
",
course-materials,https://github.com/paralipomena/course-materials,,course materials,Code and other course materials for Topics in Digital Humanities ,
Topics in Digital Humanities,https://github.com/paralipomena,,,,
LowResourceLanguages/endangered-languages,https://github.com/LowResourceLanguages/endangered-languages,,,,
TaDiRAH - Taxonomy of Digital Research Activities in the Humanities,https://github.com/dhtaxonomy/TaDiRAH,,standard,,Integration with Zenodo.
"dmberry/Digital-Humanities-and-Electronic-Literature
",https://github.com/dmberry/Digital-Humanities-and-Electronic-Literature,,dataset,,
Around digital humanities in 80 days,https://github.com/elotroalex/arounddh,,website,,
"CUNY-Digital-Praxis-Seminar
",https://github.com/amandabee/CUNY-Digital-Praxis-Seminar,,,,
Zotero,https://github.com/zotero/zotero,,,,
,yuenhsi/Digital_Humanities_Research,,project proposal,,
Python scripts for digital humanities projects,https://github.com/mttbrstn/digitalhumanities,,,,
rletters,https://github.com/rletters/rletters,,,,
"Digital Humanities: research, ideas, plans",https://github.com/claudinec/dh,,,,
Digi Coffee,https://github.com/digieast/digicoffee,,informal reading and discussion group in humanities and social sciences in digital era.,,
Authorship Attribution from Stylistic Analysis Based on Particle Distribution,https://github.com/klingtnet/dh-project-ws14,,,,
Introduction to Digital Humanities,https://github.com/wraabe/Sum14DHCourseDev,,course,,
Thesis Toolbox + Digital Humanities and Literature,https://github.com/silviaegt/dh-toolbox,,,,
Digital History Methods in R,https://github.com/lmullen/dh-methods-in-r,,,,
Telemeta,https://github.com/Parisson/Telemeta,,software,,
dhdc-workshop,https://github.com/dhdc/dhdc-workshop,,course materials,,
Historical Friction,https://github.com/shawngraham/historicalfriction,,software,,
,https://github.com/mkgold/gcenglishf14/blob/master/gcenglishf14-syllabus.md,,,,
,https://github.com/lmullen/religion-19c-dh,,,,
,https://github.com/WheatonCS/Lexos,,,,
,https://github.com/seinecle/Cowo/blob/master/README.md,,,,
,https://gist.github.com/wcaleb/9906026,,,,
,https://github.com/bmschmidt/coverspace,,,,
,https://github.com/OpenGreekAndLatin/csel-dev,,,,
,https://github.com/MuseumofModernArt/collection,,,,
